"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 25","372.0000","374.0000","377.0000","363.0000","13.13M","-0.53%"
"2023- 10- 24","374.0000","368.0000","378.0000","358.0000","30.11M","1.63%"
"2023- 10- 23","368.0000","356.0000","368.0000","354.0000","17.30M","3.66%"
"2023- 10- 22","355.0000","354.0000","357.0000","348.0000","10.20M","0.28%"
"2023- 10- 21","354.0000","349.0000","356.0000","345.0000","8.25M","1.43%"
"2023- 10- 20","349.0000","339.0000","350.0000","338.0000","11.04M","3.25%"
"2023- 10- 19","338.0000","346.0000","351.0000","333.0000","9.44M","-2.31%"
"2023- 10- 18","346.0000","354.0000","357.0000","343.0000","11.70M","-2.26%"
"2023- 10- 17","354.0000","351.0000","358.0000","347.0000","10.74M","0.57%"
"2023- 10- 16","352.0000","348.0000","358.0000","343.0000","24.18M","1.15%"
"2023- 10- 15","348.0000","336.0000","351.0000","333.0000","21.94M","3.57%"
"2023- 10- 14","336.0000","337.0000","338.0000","334.0000","3.95M","-0.30%"
"2023- 10- 13","337.0000","334.0000","337.0000","331.0000","4.43M","0.90%"
