"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 25","22,120.0","22,160.0","22,630.0","21,860.0","1.24M","-0.18%"
"2023- 10- 24","22,160.0","22,350.0","23,250.0","21,770.0","2.93M","-0.98%"
"2023- 10- 23","22,380.0","21,360.0","22,400.0","21,180.0","1.70M","4.78%"
"2023- 10- 22","21,360.0","21,270.0","21,430.0","20,770.0","786.31K","0.42%"
"2023- 10- 21","21,270.0","20,760.0","21,340.0","20,680.0","1.11M","2.56%"
"2023- 10- 20","20,740.0","20,180.0","21,000.0","20,060.0","1.19M","2.78%"
"2023- 10- 19","20,180.0","20,270.0","20,360.0","20,050.0","516.81K","-0.44%"
"2023- 10- 18","20,270.0","20,370.0","20,530.0","20,210.0","540.63K","-0.54%"
"2023- 10- 17","20,380.0","20,780.0","20,810.0","20,290.0","569.31K","-1.92%"
"2023- 10- 16","20,780.0","20,420.0","21,630.0","20,380.0","1.31M","1.76%"
"2023- 10- 15","20,420.0","20,530.0","20,610.0","20,320.0","274.00K","-0.54%"
"2023- 10- 14","20,530.0","20,440.0","20,600.0","20,400.0","187.64K","0.44%"
"2023- 10- 13","20,440.0","20,280.0","20,600.0","20,170.0","236.52K","0.79%"
"2023- 10- 12","20,280.0","20,390.0","20,550.0","20,070.0","279.39K","-0.54%"
"2023- 10- 11","20,390.0","20,360.0","20,400.0","20,040.0","314.40K","0.15%"
"2023- 10- 10","20,360.0","20,510.0","20,670.0","20,250.0","250.73K","-0.68%"
"2023- 10- 09","20,500.0","21,060.0","21,080.0","20,170.0","509.39K","-2.66%"
"2023- 10- 08","21,060.0","21,230.0","21,300.0","20,920.0","256.40K","-0.80%"
"2023- 10- 07","21,230.0","21,260.0","21,370.0","21,120.0","198.15K","-0.19%"
"2023- 10- 06","21,270.0","20,990.0","21,400.0","20,970.0","363.20K","1.38%"
